SalesKey,DateKey,ProductKey,CustomerKey,CategoryKey,ColorKey,BrandKey,GeoKey,CountryKey,Quantity,NetPrice
1,20080101,2492,18813,1,1,1,1,1,1,23.7405
2,20080101,1763,4751,2,2,2,2,1,1,94.7625
3,20080101,1763,4760,2,2,2,3,1,1,94.7625
4,20080101,1763,4764,2,2,2,4,1,1,94.7625
5,20080101,1763,4773,2,2,2,5,1,1,94.7625
6,20080101,1763,4774,2,2,2,6,1,1,94.7625
7,20080101,1763,4775,2,2,2,7,1,1,94.7625
8,20080101,1763,4776,2,2,2,8,1,1,94.7625
9,20080101,1763,4777,2,2,2,9,1,1,94.7625
10,20080101,1763,4778,2,2,2,10,1,1,94.7625
11,20080101,1763,4779,2,2,2,11,1,1,94.7625
12,20080101,1763,4781,2,2,2,12,1,1,94.7625
13,20080101,1763,4782,2,2,2,13,1,1,94.7625
14,20080101,1763,4783,2,2,2,14,1,1,94.7625
15,20080101,1763,4815,2,2,2,15,1,1,94.7625
16,20080101,2124,17160,3,3,1,16,1,1,422.75
17,20080101,2124,17163,3,3,1,17,1,1,422.75
18,20080101,2124,17165,3,3,1,18,1,1,422.75
19,20080101,197,17599,4,4,3,19,1,1,284.905
20,20080101,197,17600,4,4,3,1,1,1,284.905
21,20080101,197,17602,4,4,3,20,1,1,284.905
22,20080101,197,17604,4,4,3,21,1,1,284.905
23,20080101,197,17605,4,4,3,3,1,1,284.905
24,20080101,197,17607,4,4,3,20,1,1,284.905
25,20080101,192,5963,4,4,3,22,1,1,569.05
26,20080101,192,5964,4,4,3,23,1,1,569.05
27,20080101,192,5966,4,4,3,24,1,1,569.05
28,20080101,192,5967,4,4,3,6,1,1,569.05
29,20080101,192,5968,4,4,3,25,1,1,569.05
30,20080101,192,5969,4,4,3,19,1,1,569.05
31,20080101,192,5971,4,4,3,7,1,1,569.05
32,20080101,1776,15265,2,2,2,26,1,1,40.85
33,20080101,1776,15266,2,2,2,3,1,1,40.85
34,20080101,1776,15267,2,2,2,8,1,1,40.85
35,20080101,1776,15269,2,2,2,16,1,1,40.85
36,20080101,1776,15272,2,2,2,19,1,1,40.85
37,20080101,1666,13528,5,5,2,27,1,1,16.0455
38,20080101,1666,13529,5,5,2,28,1,1,16.0455
39,20080101,1666,13530,5,5,2,16,1,1,16.0455
40,20080101,1666,13531,5,5,2,29,1,1,16.0455
41,20080101,1666,13999,5,5,2,15,1,1,16.0455
42,20080101,1666,14000,5,5,2,24,1,1,16.0455
43,20080101,1666,14155,5,5,2,12,1,1,16.0455
44,20080101,1666,14156,5,5,2,30,1,1,16.0455
45,20080101,1666,14162,5,5,2,31,1,1,16.0455
46,20080101,1666,14163,5,5,2,32,1,1,16.0455
47,20080101,1666,14170,5,5,2,33,1,1,16.0455
48,20080101,1666,14185,5,5,2,28,1,1,16.0455
49,20080101,1666,14186,5,5,2,34,1,1,16.0455
50,20080101,1666,14192,5,5,2,23,1,1,16.0455
51,20080101,1666,14966,5,5,2,9,1,1,16.0455
52,20080101,1666,14967,5,5,2,19,1,1,16.0455
53,20080101,1666,15058,5,5,2,12,1,1,16.0455
54,20080101,1666,15060,5,5,2,33,1,1,16.0455
55,20080101,1666,15061,5,5,2,5,1,1,16.0455
56,20080101,1666,15062,5,5,2,35,1,1,16.0455
57,20080101,1666,15066,5,5,2,16,1,1,16.0455
58,20080101,1666,15083,5,5,2,36,1,1,16.0455
59,20080101,1666,15084,5,5,2,5,1,1,16.0455
60,20080101,1666,15085,5,5,2,37,1,1,16.0455
61,20080101,1666,15090,5,5,2,2,1,1,16.0455
62,20080101,1666,15091,5,5,2,2,1,1,16.0455
63,20080101,1666,15092,5,5,2,38,1,1,16.0455
64,20080101,1666,15099,5,5,2,26,1,1,16.0455
65,20080101,1666,15107,5,5,2,39,1,1,16.0455
66,20080101,1666,15108,5,5,2,9,1,1,16.0455
67,20080101,1666,15109,5,5,2,5,1,1,16.0455
68,20080101,1666,15204,5,5,2,40,1,1,16.0455
69,20080101,1666,15539,5,5,2,2,1,1,16.0455
70,20080101,1666,15541,5,5,2,28,1,1,16.0455
71,20080101,1666,15594,5,5,2,40,1,1,16.0455
72,20080101,1666,15685,5,5,2,16,1,1,16.0455
73,20080101,1666,15691,5,5,2,12,1,1,16.0455
74,20080101,1666,15692,5,5,2,12,1,1,16.0455
75,20080101,1666,15699,5,5,2,40,1,1,16.0455
76,20080101,1666,15705,5,5,2,41,1,1,16.0455
77,20080101,1666,15706,5,5,2,5,1,1,16.0455
78,20080101,1666,15708,5,5,2,41,1,1,16.0455
